video ID,uploader,age,category,length,views,rate,ratings,comments
CBDNt_alnJY,Rabanall,494.0,Comedy,9.0,756.0,3.0,2.0,1.0
fYSjWBOr88M,Vega22poli,744.0,Sports,73.0,3557.0,4.33,6.0,6.0
kYCl-O_4FWk,Lenehan,743.0,Sports,38.0,9660.0,2.75,4.0,14.0
-kLrDNohzbQ,eden85,424.0,Comedy,16.0,11514.0,1.14,7.0,3.0
NRSEmdrAWbA,slimshady313detroit,743.0,Sports,38.0,4175.0,0.0,0.0,0.0
K5nEsZxpJpg,oskar03,630.0,Comedy,11.0,21401.0,4.14,7.0,17.0
xyIdYiifUto,lafarcito,640.0,People & Blogs,175.0,205.0,0.0,0.0,0.0
6C2y17Ji87Y,lafarcito,640.0,People & Blogs,102.0,435.0,0.0,0.0,0.0
3_kag4Vr1LQ,legnar29,560.0,Comedy,24.0,1617.0,2.0,4.0,1.0
voPmZ3LPOFQ,lafarcito,640.0,People & Blogs,215.0,118.0,0.0,0.0,0.0
U1s6d6-0b4g,eldelagos,621.0,Sports,13.0,2835.0,5.0,1.0,2.0
9vDUvMlpDnI,tronix86,551.0,Entertainment,60.0,204.0,0.0,0.0,0.0
0Ok79plGvh8,elgallegosoy,743.0,Sports,14.0,1664.0,5.0,1.0,3.0
VaFamgFwpPw,eweeeee,741.0,Sports,251.0,1017.0,4.0,4.0,2.0
7Ho3RolPtGY,rherquiniov,677.0,Music,158.0,867.0,3.0,2.0,0.0
Z7pwyRVezkI,BKBARBER33,624.0,People & Blogs,15.0,204.0,0.0,0.0,0.0
g-rHwAx3B4w,slbnorteno,516.0,Music,41.0,6139.0,3.33,3.0,3.0
OminC0xkIu8,alacransinalas,663.0,Music,202.0,351.0,3.5,2.0,1.0
onyMCkJZyak,delriojuan,568.0,Music,184.0,1392.0,5.0,1.0,1.0
KwtSlDgD-KI,dem310boyz,689.0,Music,61.0,915.0,0.0,0.0,1.0
yK23Zaaw2wg,BKBARBER33,624.0,People & Blogs,19.0,413.0,0.0,0.0,0.0
bxmNWRZsP_s,basesllenas,615.0,Sports,42.0,104.0,0.0,0.0,0.0
VNIjxvjFFbU,Srpocket,598.0,News & Politics,598.0,2669.0,4.46,13.0,1.0
